,date,open,high,low,close,volume
2277,2021-07-27 20:28:08.836215808,308.66,308.68,308.65,308.66,59.6
2278,2021-07-27 20:28:12.952975872,308.66,308.68,308.65,308.68,62.46
2279,2021-07-27 20:28:17.070189824,308.66,308.68,308.65,308.68,64.49
2280,2021-07-27 20:28:21.184454656,308.66,308.68,308.65,308.68,68.81
2281,2021-07-27 20:28:25.302292736,308.66,308.69,308.65,308.69,90.54
2282,2021-07-27 20:28:29.417486080,308.66,308.69,308.65,308.69,94.55
2283,2021-07-27 20:28:33.520779264,308.66,308.7,308.65,308.7,96.81
2284,2021-07-27 20:28:36.609869312,308.66,308.7,308.65,308.7,99.55
2285,2021-07-27 20:28:40.731174656,308.66,308.7,308.65,308.7,119.78
2286,2021-07-27 20:28:44.847885312,308.66,308.7,308.65,308.67,164.78
2287,2021-07-27 20:28:48.966435584,308.66,308.7,308.64,308.68,174.57
2288,2021-07-27 20:28:53.084564480,308.66,308.7,308.64,308.7,178.25
2289,2021-07-27 20:28:57.208903936,308.66,308.7,308.56,308.56,198.87
2290,2021-07-27 20:29:01.325815552,308.66,308.7,308.43,308.43,265.92
2291,2021-07-27 20:29:05.440492288,308.66,308.7,308.41,308.42,267.33
2292,2021-07-27 20:29:09.554471680,308.66,308.7,308.41,308.46,269.98
2293,2021-07-27 20:29:12.637238784,308.66,308.7,308.41,308.51,270.55
2294,2021-07-27 20:29:16.751902976,308.66,308.7,308.41,308.54,275.1
2295,2021-07-27 20:29:20.868906752,308.66,308.7,308.41,308.54,275.81
2296,2021-07-27 20:29:24.985995520,308.66,308.7,308.41,308.54,276.2
2297,2021-07-27 20:29:29.079453184,308.66,308.7,308.41,308.54,277.5
2298,2021-07-27 20:29:33.197609984,308.66,308.7,308.41,308.54,279.09
2299,2021-07-27 20:29:37.316698624,308.66,308.7,308.41,308.64,575.29
2300,2021-07-27 20:29:41.432788224,308.64,308.65,308.64,308.65,1.3
